Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Lars Gindorf,Alemannia Aachen,3.Liga DE,GER - 3. Liga,Midfielder,DACH,25,24+,vollständig,27.29,—,0.0,-1.25,782.04,165.83,947.87,1.08,3.0,🔼 HIGH,109.1,365.2,62.54,427.74,0.12,0.0,❌ NO,-1.9,0.8,1.03,1.58,1.9,1.0,0.14,3.5,0.772,STRONG,🔴 RISIKO,,,,,,,0.114,WEAK,0.259,BELOW,0.919,ELITE,,,,,0.204,WEAK,0.988,ELITE,0.909,ELITE,,,0.979,ELITE,,,,,,,,,,,1230,Spielmacher
Klaus Gjasula,Rot-Weiss Essen,3.Liga DE,GER - 3. Liga,Midfielder,DACH,37,24+,vollständig,26.62,—,0.0,-1.92,570.84,97.67,668.51,0.1,0.0,🔽 LOW,-102.1,427.71,81.02,508.73,0.05,2.0,✅ YES,60.7,0.88,0.94,1.83,1.8,1.0,0.22,3.5,0.912,ELITE,🔴 RISIKO,,,,,,,0.948,ELITE,0.947,ELITE,0.794,STRONG,,,,,0.894,STRONG,0.384,BELOW,0.753,STRONG,,,0.277,BELOW,,,,,,,,,,,2381,Spielmacher
Marco Djuričin,St. Pölten,AUT 2.L,AUT - 2. Liga,Striker,DACH,34,24+,vollständig,28.33,—,0.0,-0.21,608.94,189.15,798.09,2.21,2.0,➡ MEDIUM,-64.0,321.58,97.47,419.05,1.42,1.0,❌ NO,-45.5,,,,,0.0,,3.5,0.184,WEAK,🔴 RISIKO,,,,,0.272,BELOW,,,0.163,WEAK,,,,,,,,,0.654,AVERAGE,,,0.54,AVERAGE,,,0.536,AVERAGE,0.448,BELOW,0.346,BELOW,0.099,WEAK,,,327,Allrounder
Eris Abedini,Neuchâtel Xamax,SUI CL,SUI - Challenge League,Midfielder,DACH,28,24+,vollständig,27.03,—,0.0,-1.51,565.52,111.54,677.06,0.14,0.0,🔽 LOW,-107.4,446.21,96.13,542.34,0.14,2.0,✅ YES,79.2,0.65,0.74,1.81,1.99,1.0,-0.01,3.5,0.647,AVERAGE,🔴 RISIKO,,,,,,,0.854,STRONG,0.764,STRONG,0.486,BELOW,,,,,0.905,ELITE,0.408,BELOW,0.458,BELOW,,,0.094,WEAK,,,,,,,,,,,2191,Defensivmittelfeld
Amney Moutassime,Balingen,RL Südwest,GER - Regionalliga Südwest,Winger,DACH,22,U23,vollständig,27.8,—,0.0,-0.74,757.73,158.34,916.07,0.0,2.0,➡ MEDIUM,84.8,372.08,89.05,461.13,0.0,1.0,❌ NO,5.0,0.78,0.91,,2.19,0.0,0.12,3.5,0.086,WEAK,🔴 RISIKO,,,,,,,,,0.381,BELOW,,,,,,,,,0.233,WEAK,0.503,AVERAGE,0.114,WEAK,0.194,WEAK,,,0.426,BELOW,,,0.123,WEAK,0.069,WEAK,1020,Allrounder
Noah  Grognuz,Stade Nyonnais,SUI CL,SUI - Challenge League,Central Defender,DACH,21,U21,vollständig,28.56,🟠 MEDIUM,1.0,0.02,356.71,98.14,454.85,0.53,0.0,🔽 LOW,-316.2,267.15,81.41,348.57,0.53,1.0,❌ NO,-99.9,0.76,,,2.39,0.0,0.1,3.5,0.13,WEAK,🔴 RISIKO,0.004,WEAK,0.223,WEAK,0.653,AVERAGE,0.307,BELOW,0.152,WEAK,0.342,BELOW,0.019,WEAK,0.535,AVERAGE,0.504,AVERAGE,,,,,,,,,,,,,,,,,,,383,Kopfballstarker IV
Janik Haberer,Union Berlin,BL DE,GER - Bundesliga,Fullback,DACH,32,24+,vollständig,27.73,—,0.0,-0.81,647.62,162.03,809.65,0.73,1.0,🔽 LOW,-25.3,360.64,83.43,444.07,0.55,1.0,❌ NO,-6.4,0.66,0.69,1.57,1.98,2.0,0.0,3.5,0.6,AVERAGE,🔴 RISIKO,0.527,AVERAGE,,,,,0.301,BELOW,0.48,BELOW,0.803,STRONG,0.732,AVERAGE,,,0.566,AVERAGE,0.517,AVERAGE,0.808,STRONG,0.144,WEAK,,,,,,,,,,,,,956,Aufbauspieler
Benno Giebeler,Borussia M'gladbach U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,28.03,—,0.0,-0.51,532.43,188.64,721.08,1.21,2.0,➡ MEDIUM,-140.5,275.09,95.77,370.86,0.48,1.0,❌ NO,-92.0,0.77,0.84,1.58,2.04,0.0,0.11,3.5,0.389,BELOW,🔴 RISIKO,0.127,WEAK,,,,,0.864,STRONG,0.487,BELOW,0.242,WEAK,0.717,AVERAGE,,,0.731,AVERAGE,0.43,BELOW,0.139,WEAK,0.298,BELOW,,,,,,,,,,,,,609,Defensiver AV
Lennard Volp,Köln U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,18,U21,vollständig,28.85,🟠 MEDIUM,1.0,0.31,420.39,146.06,566.45,0.64,0.0,🔽 LOW,-252.6,284.1,113.91,398.02,0.0,1.0,❌ NO,-82.9,0.83,,,2.29,0.0,0.17,3.5,0.633,AVERAGE,🔴 RISIKO,,,,,,,0.764,STRONG,0.728,AVERAGE,0.494,BELOW,,,,,0.754,STRONG,0.392,BELOW,0.311,BELOW,,,0.482,BELOW,,,,,,,,,,,913,Defensivmittelfeld
Benedikt   Blum,Schott Mainz,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,20,U21,vollständig,27.98,—,0.0,-0.56,576.08,224.61,800.69,1.66,2.0,➡ MEDIUM,-96.9,300.31,87.98,388.29,0.74,1.0,❌ NO,-66.7,0.94,,,2.5,0.0,0.28,3.5,0.074,WEAK,🔴 RISIKO,0.068,WEAK,,,,,0.183,WEAK,0.077,WEAK,0.038,WEAK,0.915,ELITE,,,0.074,WEAK,0.797,STRONG,0.137,WEAK,0.03,WEAK,,,,,,,,,,,,,269,Allrounder
Maik Nawrocki,Hannover 96,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Central Defender,DACH,25,24+,vollständig,27.96,—,0.0,-0.58,331.64,83.04,414.67,0.94,1.0,🔽 LOW,-341.3,249.3,64.6,313.9,0.73,1.0,❌ NO,-117.8,0.65,0.74,1.31,2.1,2.0,-0.01,3.5,0.906,ELITE,🔴 RISIKO,0.503,AVERAGE,0.821,STRONG,0.375,BELOW,0.941,ELITE,0.963,ELITE,0.793,STRONG,0.558,AVERAGE,0.803,STRONG,0.809,STRONG,,,,,,,,,,,,,,,,,,,1303,Spielaufbauer
Fabrice Wedekind,Carl Zeiss Jena U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,27.77,—,0.0,-0.77,596.62,159.92,756.54,0.26,0.0,🔽 LOW,-76.3,392.54,100.48,493.02,0.14,2.0,✅ YES,25.5,0.69,0.68,1.98,1.99,1.0,0.03,3.5,0.709,AVERAGE,🔴 RISIKO,0.889,STRONG,,,,,0.854,STRONG,0.696,AVERAGE,0.633,AVERAGE,0.288,BELOW,,,0.829,STRONG,0.454,BELOW,0.44,BELOW,0.294,BELOW,,,,,,,,,,,,,789,Defensiver AV
Mike Balonier,Darmstadt 98 U19,U19 BL,GER - U19 Bundesliga,Central Defender,DACH,19,U21,vollständig,28.56,🟠 MEDIUM,1.0,0.02,497.79,151.19,648.97,0.32,0.0,🔽 LOW,-175.2,316.1,92.68,408.79,0.21,0.0,❌ NO,-50.9,0.63,0.63,1.36,2.01,3.0,-0.03,3.5,0.414,BELOW,🔴 RISIKO,0.363,BELOW,0.571,AVERAGE,0.622,AVERAGE,0.3,BELOW,0.518,AVERAGE,0.14,WEAK,0.595,AVERAGE,0.605,AVERAGE,0.475,BELOW,,,,,,,,,,,,,,,,,,,931,Kopfballstarker IV
Adem Bukvic,Osnabrück U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,27.7,—,0.0,-0.84,683.66,175.12,858.78,0.37,2.0,➡ MEDIUM,10.7,350.19,76.61,426.8,0.44,1.0,❌ NO,-16.9,0.91,0.93,,2.01,0.0,0.25,3.5,0.055,WEAK,🔴 RISIKO,,,,,,,,,0.305,BELOW,,,,,,,,,0.578,AVERAGE,0.139,WEAK,0.138,WEAK,0.029,WEAK,,,0.128,WEAK,,,0.419,BELOW,0.074,WEAK,522,Allrounder
Max Murawski,Schalke 04 U17,U17 BL,GER - U17 Bundesliga,Central Defender,DACH,17,U21,vollständig,29.17,🟠 MEDIUM,1.0,0.63,456.3,165.8,622.1,0.2,0.0,🔽 LOW,-216.7,341.67,131.04,472.71,0.21,1.0,❌ NO,-25.4,0.75,0.9,,2.28,0.0,0.09,3.5,0.175,WEAK,🔴 RISIKO,0.813,STRONG,0.442,BELOW,0.161,WEAK,0.057,WEAK,0.216,WEAK,0.269,BELOW,0.724,AVERAGE,0.234,WEAK,0.128,WEAK,,,,,,,,,,,,,,,,,,,532,Allrounder
Omar Rahimic,Phönix Lübeck,RL Nord,GER - Regionalliga Nord,Midfielder,DACH,19,U21,vollständig,27.25,—,0.0,-1.29,845.41,118.15,963.56,0.0,2.0,➡ MEDIUM,172.5,386.98,31.79,418.77,0.0,1.0,❌ NO,19.9,,,,2.06,0.0,,3.5,0.773,STRONG,🔴 RISIKO,,,,,,,0.831,STRONG,0.691,AVERAGE,0.758,STRONG,,,,,0.705,AVERAGE,0.145,WEAK,0.397,BELOW,,,0.846,STRONG,,,,,,,,,,,263,Vorwärtsdribbler
Nikolaos Cheridis,Kickers Offenbach U17,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,27.52,—,0.0,-1.02,810.26,182.88,993.14,0.0,2.0,➡ MEDIUM,137.3,372.39,101.41,473.8,0.0,1.0,❌ NO,5.3,0.68,0.93,,2.06,0.0,0.02,3.5,0.784,STRONG,🔴 RISIKO,,,,,,,,,0.641,AVERAGE,,,,,,,,,0.395,BELOW,0.887,STRONG,0.633,AVERAGE,0.797,STRONG,,,0.348,BELOW,,,0.636,AVERAGE,0.724,AVERAGE,421,Komplettflügel
Minou Tsimba-Eggers,Altona 93,RL Nord,GER - Regionalliga Nord,Midfielder,DACH,28,24+,vollständig,27.23,—,0.0,-1.31,645.77,122.92,768.69,0.6,0.0,🔽 LOW,-27.2,461.87,76.83,538.7,0.3,2.0,✅ YES,94.8,0.77,1.1,1.5,1.95,1.0,0.11,3.5,0.004,WEAK,🔴 RISIKO,,,,,,,0.181,WEAK,0.005,WEAK,0.081,WEAK,,,,,0.103,WEAK,0.055,WEAK,0.039,WEAK,,,0.291,BELOW,,,,,,,,,,,360,Allrounder
Felix Götze,Paderborn,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Central Defender,DACH,28,24+,vollständig,28.48,—,0.0,-0.06,463.87,129.06,592.93,0.48,0.0,🔽 LOW,-209.1,365.94,111.69,477.63,0.33,2.0,✅ YES,-1.1,0.7,0.73,1.52,1.97,1.0,0.04,3.5,0.569,AVERAGE,🔴 RISIKO,0.657,AVERAGE,0.42,BELOW,0.53,AVERAGE,0.751,STRONG,0.612,AVERAGE,0.602,AVERAGE,0.341,BELOW,0.439,BELOW,0.495,BELOW,,,,,,,,,,,,,,,,,,,2618,Spielaufbauer
Phil Heckeroth,Magdeburg U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,27.08,—,0.0,-1.46,664.84,99.61,764.45,0.0,0.0,🔽 LOW,-8.1,473.94,67.57,541.51,0.0,2.0,✅ YES,106.9,0.64,0.86,,2.24,1.0,-0.02,3.5,0.903,ELITE,🔴 RISIKO,0.894,STRONG,,,,,0.723,AVERAGE,0.533,AVERAGE,0.688,AVERAGE,0.755,STRONG,,,0.702,AVERAGE,0.987,ELITE,0.848,STRONG,0.336,BELOW,,,,,,,,,,,,,1058,Aufbauspieler
Soumaïla Diabaté,Salzburg,AUT BL,AUT - Bundesliga,Midfielder,DACH,22,U23,vollständig,26.72,—,0.0,-1.82,611.88,104.17,716.06,0.23,0.0,🔽 LOW,-61.1,511.03,86.7,597.73,0.18,2.0,✅ YES,144.0,0.67,0.76,1.65,1.92,1.0,0.01,3.5,0.725,AVERAGE,🔴 RISIKO,,,,,,,0.957,ELITE,0.902,ELITE,0.475,BELOW,,,,,0.926,ELITE,0.252,BELOW,0.453,BELOW,,,0.227,WEAK,,,,,,,,,,,1490,Defensivmittelfeld
Alan Mamo,Fortuna Köln U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,19,U21,vollständig,28.05,—,0.0,-0.49,753.41,220.8,974.21,0.38,3.0,🔼 HIGH,80.5,287.39,73.9,361.29,0.32,0.0,❌ NO,-79.7,0.71,,1.45,1.92,1.0,0.05,3.5,0.848,STRONG,🔴 RISIKO,,,,,,,0.268,BELOW,0.517,AVERAGE,0.62,AVERAGE,,,,,0.288,BELOW,1.0,ELITE,0.94,ELITE,,,0.988,ELITE,,,,,,,,,,,511,Spielmacher
Leo Vielgut,Austria Klagenfurt,AUT 2.L,AUT - 2. Liga,Midfielder,DACH,25,24+,vollständig,26.45,—,0.0,-2.09,757.1,102.66,859.77,0.0,2.0,➡ MEDIUM,84.1,368.06,41.47,409.52,0.0,1.0,❌ NO,1.0,,,,2.52,0.0,,3.5,0.298,BELOW,🔴 RISIKO,,,,,,,0.187,WEAK,0.154,WEAK,0.701,AVERAGE,,,,,0.192,WEAK,0.678,AVERAGE,0.591,AVERAGE,,,0.349,BELOW,,,,,,,,,,,278,Vorwärtsdribbler
Francis-Ikechukwu Onyeka,Bochum,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Striker,DACH,19,U21,vollständig,27.97,—,0.0,-0.57,812.52,224.92,1037.45,0.48,3.0,🔼 HIGH,139.6,339.85,61.36,401.21,0.2,0.0,❌ NO,-27.2,0.7,0.77,1.78,1.95,1.0,0.04,3.5,0.293,BELOW,🔴 RISIKO,,,,,0.751,STRONG,,,0.279,BELOW,,,,,,,,,0.493,BELOW,,,0.361,BELOW,,,0.531,AVERAGE,0.231,WEAK,0.445,BELOW,0.348,BELOW,,,1459,Kopfballstürmer
Luca de Meester de Tilbourg,Sandhausen,RL Südwest,GER - Regionalliga Südwest,Midfielder,DACH,22,U23,vollständig,27.6,—,0.0,-0.94,833.82,161.16,994.98,0.53,2.0,➡ MEDIUM,160.9,402.79,50.84,453.63,0.0,1.0,❌ NO,35.7,0.72,0.81,1.67,2.24,0.0,0.06,3.5,0.051,WEAK,🔴 RISIKO,,,,,,,0.143,WEAK,0.014,WEAK,0.239,WEAK,,,,,0.056,WEAK,0.228,WEAK,0.068,WEAK,,,0.911,ELITE,,,,,,,,,,,479,Allrounder
Ethan Ulm,SC Verl U17,U17 BL,GER - U17 Bundesliga,Midfielder,DACH,17,U21,vollständig,27.13,—,0.0,-1.41,677.5,79.64,757.14,0.75,2.0,➡ MEDIUM,4.5,398.92,42.11,441.03,0.0,1.0,❌ NO,31.9,,,,2.27,0.0,,3.5,0.832,STRONG,🔴 RISIKO,,,,,,,0.911,ELITE,0.72,AVERAGE,0.594,AVERAGE,,,,,0.696,AVERAGE,0.462,BELOW,0.434,BELOW,,,0.756,STRONG,,,,,,,,,,,291,Defensivmittelfeld
Viktor Miftaraj,Rödinghausen,RL West,GER - Regionalliga West,Central Defender,DACH,25,24+,vollständig,27.13,—,0.0,-1.41,521.72,107.19,628.92,0.43,0.0,🔽 LOW,-151.2,330.67,74.21,404.88,0.39,1.0,❌ NO,-36.4,0.66,0.68,1.35,1.93,4.0,0.0,3.5,0.67,AVERAGE,🔴 RISIKO,0.521,AVERAGE,0.615,AVERAGE,0.974,ELITE,0.451,BELOW,0.547,AVERAGE,0.246,WEAK,0.549,AVERAGE,0.941,ELITE,0.348,BELOW,,,,,,,,,,,,,,,,,,,2003,Kopfballstarker IV
Maximilian Geißen,Drochtersen / Assel,RL Nord,GER - Regionalliga Nord,Midfielder,DACH,27,24+,vollständig,27.09,—,0.0,-1.45,637.46,128.26,765.72,0.08,0.0,🔽 LOW,-35.5,461.55,102.19,563.73,0.09,2.0,✅ YES,94.5,0.67,0.74,1.36,1.98,1.0,0.01,3.5,0.345,BELOW,🔴 RISIKO,,,,,,,0.639,AVERAGE,0.541,AVERAGE,0.231,WEAK,,,,,0.74,AVERAGE,0.213,WEAK,0.342,BELOW,,,0.337,BELOW,,,,,,,,,,,1431,Defensivmittelfeld
Tugra  Bodur,Darmstadt 98 U17,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,27.11,—,0.0,-1.43,814.97,130.79,945.76,0.0,2.0,➡ MEDIUM,142.0,417.82,44.24,462.06,0.0,1.0,❌ NO,50.8,0.84,1.04,,2.29,0.0,0.18,3.5,0.493,BELOW,🔴 RISIKO,,,,,,,,,0.807,STRONG,,,,,,,,,0.437,BELOW,0.214,WEAK,0.3,BELOW,0.382,BELOW,,,0.746,AVERAGE,,,0.803,STRONG,0.314,BELOW,526,Allrounder
Muhammed Talha Yilmaz,Bochum U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,22,U21,vollständig,27.72,—,0.0,-0.82,594.51,223.53,818.04,1.02,2.0,➡ MEDIUM,-78.4,341.1,98.72,439.83,1.06,1.0,❌ NO,-25.9,0.93,,,2.17,0.0,0.27,3.5,0.878,STRONG,🔴 RISIKO,0.772,STRONG,,,,,0.824,STRONG,0.668,AVERAGE,0.805,STRONG,0.519,AVERAGE,,,0.581,AVERAGE,0.711,AVERAGE,0.912,ELITE,0.532,AVERAGE,,,,,,,,,,,,,689,Aufbauspieler
Tim  Radöhl,Heidenheim U19,U19 BL,GER - U19 Bundesliga,Central Defender,DACH,17,U21,vollständig,28.61,🟠 MEDIUM,1.0,0.07,431.69,109.11,540.8,0.14,0.0,🔽 LOW,-241.3,260.55,73.68,334.23,0.0,0.0,❌ NO,-106.5,0.6,0.7,1.28,2.01,3.0,-0.06,3.5,0.955,ELITE,🔴 RISIKO,0.772,STRONG,0.95,ELITE,0.83,STRONG,0.404,BELOW,0.861,STRONG,0.961,ELITE,0.871,STRONG,0.709,AVERAGE,0.736,AVERAGE,,,,,,,,,,,,,,,,,,,791,Spielaufbauender IV
Jacob Rasmussen,Salzburg,AUT BL,AUT - Bundesliga,Central Defender,DACH,29,24+,vollständig,28.4,—,0.0,-0.14,410.35,122.68,533.02,0.48,0.0,🔽 LOW,-262.6,355.31,113.92,469.24,0.56,2.0,✅ YES,-11.7,0.62,0.8,1.5,2.05,1.0,-0.04,3.5,0.943,ELITE,🔴 RISIKO,0.841,STRONG,0.56,AVERAGE,0.867,STRONG,0.957,ELITE,0.988,ELITE,0.551,AVERAGE,0.249,WEAK,0.996,ELITE,0.979,ELITE,,,,,,,,,,,,,,,,,,,1411,Kopfballstarker IV
David Idt,Ulm U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,28.7,🟠 MEDIUM,1.0,0.16,500.79,146.56,647.35,0.23,0.0,🔽 LOW,-172.2,349.17,104.26,453.43,0.21,1.0,❌ NO,-17.9,0.88,,,2.41,0.0,0.22,3.5,0.531,AVERAGE,🔴 RISIKO,0.074,WEAK,,,,,0.903,ELITE,0.49,BELOW,0.105,WEAK,0.845,STRONG,,,0.966,ELITE,0.214,WEAK,0.116,WEAK,0.872,STRONG,,,,,,,,,,,,,446,Flügelläufer
Amier Iskif,Ingolstadt U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,27.62,—,0.0,-0.92,706.08,174.59,880.67,0.0,2.0,➡ MEDIUM,33.1,369.44,84.71,454.15,0.0,1.0,❌ NO,2.4,0.85,,,2.49,0.0,0.19,3.5,0.035,WEAK,🔴 RISIKO,0.288,BELOW,,,,,0.353,BELOW,0.305,BELOW,0.12,WEAK,0.121,WEAK,,,0.339,BELOW,0.209,WEAK,0.074,WEAK,0.104,WEAK,,,,,,,,,,,,,368,Allrounder
Yassin  Bouhleris,BAK 07 U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,28.8,🟠 MEDIUM,1.0,0.26,547.84,183.11,730.96,0.0,0.0,🔽 LOW,-125.1,337.59,112.04,449.63,0.0,1.0,❌ NO,-29.5,0.83,,,2.14,0.0,0.17,3.5,0.173,WEAK,🔴 RISIKO,0.303,BELOW,,,,,0.508,AVERAGE,0.126,WEAK,0.432,BELOW,0.016,WEAK,,,0.621,AVERAGE,0.65,AVERAGE,0.268,BELOW,0.105,WEAK,,,,,,,,,,,,,417,Allrounder
Kas Hendrix,Borussia M'gladbach U17,U17 BL,GER - U17 Bundesliga,Central Defender,DACH,17,U21,vollständig,28.05,—,0.0,-0.49,320.95,84.08,405.03,0.37,0.0,🔽 LOW,-352.0,230.94,61.61,292.55,0.39,1.0,❌ NO,-136.1,0.57,0.64,1.3,1.89,4.0,-0.09,3.5,0.439,BELOW,🔴 RISIKO,0.441,BELOW,0.417,BELOW,0.669,AVERAGE,0.419,BELOW,0.673,AVERAGE,0.448,BELOW,0.216,WEAK,0.57,AVERAGE,0.429,BELOW,,,,,,,,,,,,,,,,,,,2008,Kopfballstarker IV
Mehmet Avlayici,Greuther Fürth II,RL Bayern,GER - Regionalliga Bayern,Midfielder,DACH,20,U21,vollständig,26.95,—,0.0,-1.59,629.84,106.86,736.7,0.0,0.0,🔽 LOW,-43.1,429.89,77.38,507.27,0.0,2.0,✅ YES,62.8,0.67,0.77,,1.97,1.0,0.01,3.5,0.244,WEAK,🔴 RISIKO,,,,,,,0.751,STRONG,0.59,AVERAGE,0.197,WEAK,,,,,0.732,AVERAGE,0.127,WEAK,0.209,WEAK,,,0.074,WEAK,,,,,,,,,,,928,Defensivmittelfeld
Fabian Kunze,Kaiserslautern,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Midfielder,DACH,28,24+,vollständig,27.69,—,0.0,-0.85,563.92,130.01,693.94,0.35,0.0,🔽 LOW,-109.0,408.82,102.55,511.37,0.13,2.0,✅ YES,41.8,0.72,0.74,1.33,2.04,1.0,0.06,3.5,0.403,BELOW,🔴 RISIKO,,,,,,,0.881,STRONG,0.865,STRONG,0.234,WEAK,,,,,0.922,ELITE,0.037,WEAK,0.189,WEAK,,,0.11,WEAK,,,,,,,,,,,2614,Defensivmittelfeld
Ley Benjamin,Köln U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,27.44,—,0.0,-1.1,783.01,165.8,948.81,0.51,2.0,➡ MEDIUM,110.1,365.17,86.64,451.8,0.28,0.0,❌ NO,-1.9,0.63,0.64,1.55,1.89,3.0,-0.03,3.5,0.759,STRONG,🔴 RISIKO,,,,,,,,,0.925,ELITE,,,,,,,,,0.406,BELOW,0.9,ELITE,0.146,WEAK,0.495,BELOW,,,0.877,STRONG,,,0.87,STRONG,0.312,BELOW,1194,Allrounder
Fabio Riedl,Wiedenbrück,RL West,GER - Regionalliga West,Central Defender,DACH,23,U23,vollständig,29.1,🟠 MEDIUM,1.0,0.56,477.19,149.38,626.56,0.0,0.0,🔽 LOW,-195.8,312.79,124.61,437.39,0.0,1.0,❌ NO,-54.3,0.83,,,2.44,0.0,0.17,3.5,0.27,BELOW,🔴 RISIKO,0.728,AVERAGE,0.852,STRONG,0.227,WEAK,0.018,WEAK,0.008,WEAK,0.748,AVERAGE,0.89,STRONG,0.042,WEAK,0.002,WEAK,,,,,,,,,,,,,,,,,,,1484,Spielaufbauer
Leon Robinson,Kaiserslautern,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Central Defender,DACH,25,24+,vollständig,29.14,🟠 MEDIUM,1.0,0.6,439.3,110.43,549.74,0.64,0.0,🔽 LOW,-233.7,313.18,77.7,390.88,0.5,1.0,❌ NO,-53.9,0.8,0.81,1.5,2.14,0.0,0.14,3.5,0.235,WEAK,🔴 RISIKO,0.502,AVERAGE,0.267,BELOW,0.574,AVERAGE,0.262,BELOW,0.389,BELOW,0.473,BELOW,0.16,WEAK,0.198,WEAK,0.492,BELOW,,,,,,,,,,,,,,,,,,,924,Allrounder
Jeremiah Debrah,Mainz 05 U19,U19 BL,GER - U19 Bundesliga,Midfielder,DACH,17,U21,vollständig,26.89,—,0.0,-1.65,561.59,108.91,670.5,0.44,0.0,🔽 LOW,-111.4,371.03,64.49,435.52,0.37,2.0,✅ YES,4.0,0.61,0.77,1.48,2.11,1.0,-0.05,3.5,0.327,BELOW,🔴 RISIKO,,,,,,,0.252,BELOW,0.167,WEAK,0.452,BELOW,,,,,0.117,WEAK,0.811,STRONG,0.264,BELOW,,,0.907,ELITE,,,,,,,,,,,706,Allrounder
Luis Marggraf,Hannover 96 U17,U17 BL,GER - U17 Bundesliga,Midfielder,DACH,17,U21,vollständig,29.08,🟠 MEDIUM,1.0,0.54,369.59,142.92,512.51,0.24,0.0,🔽 LOW,-303.4,300.74,126.17,426.91,0.25,1.0,❌ NO,-66.3,0.69,,,2.64,0.0,0.03,3.5,0.429,BELOW,🔴 RISIKO,,,,,,,0.845,STRONG,0.422,BELOW,0.565,AVERAGE,,,,,0.785,STRONG,0.106,WEAK,0.215,WEAK,,,0.386,BELOW,,,,,,,,,,,604,Defensivmittelfeld
Steffen Meuer,MSV Duisburg,3.Liga DE,GER - 3. Liga,Midfielder,DACH,27,24+,vollständig,27.33,—,0.0,-1.21,778.4,182.1,960.49,0.62,2.0,➡ MEDIUM,105.4,376.69,72.63,449.32,0.0,1.0,❌ NO,9.6,0.81,,,2.28,0.0,0.15,3.5,0.348,BELOW,🔴 RISIKO,,,,,,,0.284,BELOW,0.428,BELOW,0.539,AVERAGE,,,,,0.315,BELOW,0.638,AVERAGE,0.438,BELOW,,,0.41,BELOW,,,,,,,,,,,973,Allrounder
Petar Ratkov,Salzburg,AUT BL,AUT - Bundesliga,Striker,DACH,23,U23,vollständig,28.1,—,0.0,-0.44,573.85,145.0,718.86,1.32,1.0,🔽 LOW,-99.1,325.43,84.16,409.59,0.67,1.0,❌ NO,-41.6,0.63,0.77,1.23,2.0,2.0,-0.03,3.5,0.238,WEAK,🔴 RISIKO,,,,,0.841,STRONG,,,0.013,WEAK,,,,,,,,,0.103,WEAK,,,0.25,BELOW,,,0.58,AVERAGE,0.85,STRONG,0.314,BELOW,0.354,BELOW,,,1006,Zielspieler
